model_seed,metric,angle_a,angle_b,factor_gap,category,distance
1,airm,-15.0,30.0,45.0,mid,0.6646072416836243
1,airm,-15.0,45.0,60.0,mid,0.7036266407504501
1,airm,-15.0,60.0,75.0,mid,0.7568709403928322
1,airm,-15.0,75.0,90.0,far,0.6316158250189415
1,airm,0.0,15.0,15.0,near,0.3746021797048959
1,airm,0.0,30.0,30.0,near,0.5773562574532359
1,airm,0.0,45.0,45.0,mid,0.6908863481143772
1,airm,0.0,60.0,60.0,mid,0.7909342430434754
1,airm,0.0,75.0,75.0,mid,0.7025491698041418
1,airm,15.0,30.0,15.0,near,0.2996916955313207
1,airm,15.0,45.0,30.0,near,0.5640045393806377
1,airm,15.0,60.0,45.0,mid,0.6661838535698392
1,airm,15.0,75.0,60.0,mid,0.5819205432039072
