model_seed,contrast,partition,geometry,metric,delta_mean,delta_ci_low,delta_ci_high,source_blocks
4,r3_hybrid_energy_vs_r0_mlp,heldout_dense,functional,stress,-0.052124471869224975,-0.0581032263057611,-0.04587467583049424,640
4,r3_hybrid_energy_vs_r1_linear,trained,nominal,rho,-0.03965808457143385,-0.05924602993679727,-0.02140300045062,640
4,r3_hybrid_energy_vs_r1_linear,trained,nominal,stress,0.03545011249067788,0.027616550849981606,0.043073955657324976,640
4,r3_hybrid_energy_vs_r1_linear,trained,functional,rho,-0.0772859266294186,-0.09775706637758061,-0.05801772671673291,640
4,r3_hybrid_energy_vs_r1_linear,trained,functional,stress,0.020344067452530847,0.011853442053839881,0.028872580777239757,640
4,r3_hybrid_energy_vs_r1_linear,heldout_dense,nominal,rho,-0.01471387869474335,-0.030335703987556875,0.0014304679561438665,640
4,r3_hybrid_energy_vs_r1_linear,heldout_dense,nominal,stress,0.012866544181524686,0.006409457737019245,0.019548769300534903,640
4,r3_hybrid_energy_vs_r1_linear,heldout_dense,functional,rho,-0.037514527339737425,-0.05351637471497737,-0.02160481591824492,640
4,r3_hybrid_energy_vs_r1_linear,heldout_dense,functional,stress,-0.005961082358528436,-0.012521090658132547,0.0007896872575821127,640
4,r3_hybrid_energy_vs_r2_prototype_energy,trained,nominal,rho,-0.005740639339416172,-0.016586524589634062,0.005076691692634205,640
4,r3_hybrid_energy_vs_r2_prototype_energy,trained,nominal,stress,-0.006970062868774958,-0.011894069900780874,-0.0020789612679713936,640
4,r3_hybrid_energy_vs_r2_prototype_energy,trained,functional,rho,-0.04303493124167866,-0.05740887636965453,-0.028731999212797652,640
4,r3_hybrid_energy_vs_r2_prototype_energy,trained,functional,stress,0.009974963454839374,0.003492554032533913,0.01639076097174095,640
4,r3_hybrid_energy_vs_r2_prototype_energy,heldout_dense,nominal,rho,-0.009042724509225348,-0.01828154761719282,-0.0008080962461757612,640
4,r3_hybrid_energy_vs_r2_prototype_energy,heldout_dense,nominal,stress,-0.011209224782641577,-0.01489672110282466,-0.007241082139402903,640
4,r3_hybrid_energy_vs_r2_prototype_energy,heldout_dense,functional,rho,-0.03066764606697789,-0.04399638450725343,-0.01829337282713492,640
4,r3_hybrid_energy_vs_r2_prototype_energy,heldout_dense,functional,stress,0.0006159363004577345,-0.004524754310777652,0.006165363544067281,640
