model_seed,method,source_index,scale,nominal_tangent_change,nominal_orthogonal_change,functional_tangent_change,functional_orthogonal_change,tangent_jacobian_sensitivity,orthogonal_jacobian_sensitivity,prediction_preserved,true_class_log_prob_change
1,r0_mlp,6027,-0.5,0.011745946481823921,0.04005170613527298,1.6670792319928296e-05,0.046406570822000504,0.045739687979221344,0.12788894772529602,1,-0.0006788671016693115
1,r0_mlp,3337,-0.5,0.019262388348579407,0.019384348765015602,0.0003808386391028762,0.007032596040517092,0.023137982934713364,0.026994116604328156,1,0.01830393075942993
1,r0_mlp,3070,-0.5,0.029612187296152115,0.03541817516088486,0.0321071557700634,0.03245611488819122,0.04499352350831032,0.10252048075199127,1,-0.0034242942929267883
1,r0_mlp,7058,-0.5,0.010831481777131557,0.027884501963853836,3.282440729890368e-06,0.021958379074931145,0.05306060612201691,0.09134964644908905,1,0.0005067512392997742
1,r0_mlp,9107,-0.5,0.015417859889566898,0.04578635096549988,0.00010711509094107896,0.04713910073041916,0.046068910509347916,0.14381280541419983,1,0.008617877960205078
1,r0_mlp,5049,-0.5,0.009159388951957226,0.033616721630096436,5.835405545440153e-07,0.0337919220328331,0.043867021799087524,0.10415525734424591,1,-0.000214405357837677
1,r0_mlp,4885,-0.5,0.009892301633954048,0.04744525998830795,2.371373966525425e-06,0.053124744445085526,0.04749074578285217,0.1460108608007431,1,-0.0008987933397293091
1,r0_mlp,3403,-0.5,0.0036684630904346704,0.027987435460090637,3.3852558090075036e-08,0.021819764748215675,0.02642485499382019,0.09112903475761414,1,9.362399578094482e-05
1,r0_mlp,7941,-0.5,0.05143824964761734,0.02765021286904812,0.06323254108428955,0.023583123460412025,0.11208097636699677,0.076558917760849,1,-0.003807544708251953
1,r0_mlp,184,-0.5,0.011502839624881744,0.04075826331973076,7.323824320337735e-06,0.044820427894592285,0.06811875849962234,0.12300591915845871,1,0.007048487663269043
1,r0_mlp,26,-0.5,0.016084402799606323,0.02680828422307968,3.15289908030536e-05,0.022240586578845978,0.023283910006284714,0.05737202614545822,1,-0.002691999077796936
1,r0_mlp,2528,-0.5,0.04904719814658165,0.020565001294016838,0.051007699221372604,0.01313925813883543,0.11057699471712112,0.07222950458526611,1,0.006260424852371216
1,r0_mlp,1575,-0.5,0.042916856706142426,0.03266320377588272,0.04850897565484047,0.030750928446650505,0.09429771453142166,0.10492096841335297,1,-0.0125541090965271
