method,angle,source_index,host,route_mass,ablation_impact
context_bottleneck_no_geo,-45.0,346,1,0.3800695538520813,-0.27796557545661926
context_bottleneck_no_geo,-45.0,8631,1,0.6055641770362854,0.45156216621398926
context_bottleneck_no_geo,-45.0,1908,1,0.7182499170303345,-0.20063161849975586
context_bottleneck_no_geo,-45.0,7298,1,0.719732403755188,-0.26812469959259033
context_bottleneck_no_geo,-45.0,4404,1,0.16728444397449493,-0.013512281700968742
context_bottleneck_no_geo,-45.0,6215,1,0.6805647015571594,0.9791502952575684
context_bottleneck_no_geo,-45.0,7557,1,0.7309138178825378,-0.11920201778411865
context_bottleneck_no_geo,-45.0,8505,1,0.3559197187423706,0.7829530239105225
context_bottleneck_no_geo,-45.0,2295,1,0.1997034251689911,-0.02475130371749401
context_bottleneck_no_geo,-45.0,2678,1,0.7072033882141113,1.0380151271820068
context_bottleneck_no_geo,-45.0,8479,1,0.4568786025047302,-0.010729312896728516
context_bottleneck_no_geo,-45.0,2621,1,0.5871114730834961,-0.47739458084106445
context_bottleneck_no_geo,-45.0,185,1,0.6284626126289368,-0.185635507106781
context_bottleneck_no_geo,-45.0,2902,1,0.8070845603942871,0.06536734849214554
context_bottleneck_no_geo,-45.0,8518,1,0.6114307045936584,1.453999400138855
context_bottleneck_no_geo,-45.0,5173,1,0.7096415758132935,0.05796480178833008
context_bottleneck_no_geo,-45.0,1403,1,0.7386824488639832,-0.12604522705078125
context_bottleneck_no_geo,-45.0,7275,1,0.6396536827087402,-1.516486644744873
context_bottleneck_no_geo,-45.0,1899,1,0.5242440700531006,0.9338404536247253
context_bottleneck_no_geo,-45.0,9485,1,0.756907045841217,-0.6836860179901123
context_bottleneck_no_geo,-45.0,894,1,0.5685945153236389,0.6734824180603027
context_bottleneck_no_geo,-45.0,9533,1,0.6781561374664307,0.5681943893432617
context_bottleneck_no_geo,-45.0,7898,1,0.24193865060806274,-0.05169273912906647
context_bottleneck_no_geo,-45.0,7076,1,0.7721363306045532,0.5675357580184937
context_bottleneck_no_geo,-45.0,3914,1,0.7108266949653625,-0.6335331201553345
context_bottleneck_no_geo,-45.0,6869,1,0.7957672476768494,0.9725223779678345
context_bottleneck_no_geo,-45.0,6483,1,0.6217727065086365,0.23688434064388275
context_bottleneck_no_geo,-45.0,738,1,0.6781031489372253,-0.5925912857055664
context_bottleneck_no_geo,-45.0,4636,1,0.6611127853393555,-0.9323892593383789
context_bottleneck_no_geo,-45.0,6054,1,0.7165023684501648,0.8378902077674866
context_bottleneck_no_geo,-45.0,2011,1,0.7574852108955383,0.020813651382923126
context_bottleneck_no_geo,-45.0,1950,1,0.6912823915481567,0.6097609400749207
context_bottleneck_no_geo,-45.0,8920,1,0.7257373332977295,-0.041449546813964844
context_bottleneck_no_geo,-45.0,8087,1,0.511437714099884,1.262723684310913
context_bottleneck_no_geo,-45.0,578,1,0.6055625677108765,0.5629162788391113
context_bottleneck_no_geo,-45.0,4418,1,0.2729882299900055,0.42951810359954834
context_bottleneck_no_geo,-45.0,9566,1,0.719279944896698,-0.07123959064483643
context_bottleneck_no_geo,-45.0,7017,1,0.6783983707427979,-0.8651264905929565
context_bottleneck_no_geo,-45.0,6281,1,0.5997518301010132,-0.6246887445449829
context_bottleneck_no_geo,-45.0,7300,1,0.6734875440597534,0.2754463255405426
context_bottleneck_no_geo,-45.0,3438,1,0.7966272234916687,-0.0694880485534668
context_bottleneck_no_geo,-45.0,4074,1,0.8139174580574036,0.6521498560905457
context_bottleneck_no_geo,-45.0,6920,1,0.510766863822937,0.06397378444671631
context_bottleneck_no_geo,-45.0,2813,1,0.5025536417961121,0.366712749004364
context_bottleneck_no_geo,-45.0,1334,1,0.5070425868034363,1.0256130695343018
context_bottleneck_no_geo,-45.0,3526,1,0.5524507761001587,-0.02199891209602356
context_bottleneck_no_geo,-45.0,1910,1,0.6327333450317383,0.11638662219047546
context_bottleneck_no_geo,-45.0,500,1,0.7391058206558228,0.9768108129501343
context_bottleneck_no_geo,-45.0,1808,1,0.7020939588546753,-0.6102738380432129
context_bottleneck_no_geo,-45.0,9165,1,0.649660587310791,-0.27421364188194275
context_bottleneck_no_geo,-45.0,8192,1,0.5018910765647888,0.34877222776412964
context_bottleneck_no_geo,-45.0,9066,1,0.5829654932022095,-1.2599289417266846
context_bottleneck_no_geo,-45.0,5478,1,0.6032524704933167,1.3260722160339355
context_bottleneck_no_geo,-45.0,8608,1,0.6563208699226379,0.5299131870269775
context_bottleneck_no_geo,-45.0,1994,1,0.7970969080924988,0.4591478109359741
context_bottleneck_no_geo,-45.0,4608,1,0.6411677002906799,-0.09929418563842773
context_bottleneck_no_geo,-45.0,1971,1,0.3309086561203003,-0.9313933849334717
context_bottleneck_no_geo,-45.0,9408,1,0.5775494575500488,-0.29573583602905273
context_bottleneck_no_geo,-45.0,6088,1,0.47254088521003723,-1.3351104259490967
context_bottleneck_no_geo,-45.0,5053,1,0.7172947525978088,-1.3648121356964111
context_bottleneck_no_geo,-45.0,9631,1,0.49236103892326355,-0.48215556144714355
context_bottleneck_no_geo,-45.0,5031,1,0.4821397662162781,-0.3860328793525696
context_bottleneck_no_geo,-45.0,4252,1,0.6422243118286133,-1.4973275661468506
context_bottleneck_no_geo,-45.0,2570,1,0.46011996269226074,-0.02101057767868042
context_bottleneck_no_geo,-45.0,2978,1,0.6715527176856995,1.538691759109497
context_bottleneck_no_geo,-45.0,127,1,0.3312366306781769,0.822844386100769
context_bottleneck_no_geo,-45.0,7154,1,0.5522376298904419,-0.27647507190704346
context_bottleneck_no_geo,-45.0,9903,1,0.7675279974937439,-0.9822585582733154
context_bottleneck_no_geo,-45.0,7615,1,0.4041987657546997,0.6095376014709473
context_bottleneck_no_geo,-45.0,4057,1,0.8102259635925293,0.22611407935619354
context_bottleneck_no_geo,-45.0,2655,1,0.785422146320343,-0.11934351921081543
context_bottleneck_no_geo,-45.0,6332,1,0.6147356629371643,0.48311150074005127
context_bottleneck_no_geo,-45.0,3439,1,0.22232793271541595,-0.06345665454864502
context_bottleneck_no_geo,-45.0,9576,1,0.7202236652374268,0.5024436116218567
context_bottleneck_no_geo,-45.0,9285,1,0.7163907289505005,0.33149242401123047
context_bottleneck_no_geo,-45.0,515,1,0.7643483281135559,-0.8079333305358887
context_bottleneck_no_geo,-45.0,8448,1,0.19363728165626526,-0.023089054971933365
context_bottleneck_no_geo,-45.0,5092,1,0.7477130889892578,-0.8753776550292969
context_bottleneck_no_geo,-45.0,8438,1,0.5745061039924622,-0.751662015914917
context_bottleneck_no_geo,-45.0,9606,1,0.749485969543457,0.7858359813690186
context_bottleneck_no_geo,-45.0,2722,1,0.8004245758056641,0.10271154344081879
context_bottleneck_no_geo,-45.0,6458,1,0.7581536769866943,0.04066872596740723
context_bottleneck_no_geo,-45.0,1744,1,0.6192861795425415,-0.57436203956604
context_bottleneck_no_geo,-45.0,3400,1,0.698074996471405,0.48091673851013184
context_bottleneck_no_geo,-45.0,3241,1,0.5597720742225647,-0.17623060941696167
context_bottleneck_no_geo,-45.0,7332,1,0.6729205846786499,0.5389902591705322
context_bottleneck_no_geo,-45.0,2235,1,0.759114682674408,-0.9671658277511597
context_bottleneck_no_geo,-45.0,795,1,0.7724820375442505,0.9955568313598633
context_bottleneck_no_geo,-45.0,6829,1,0.793616771697998,0.758198618888855
context_bottleneck_no_geo,-45.0,4713,1,0.501499593257904,-0.8020853996276855
context_bottleneck_no_geo,-45.0,764,1,0.6487107276916504,-0.5055708885192871
context_bottleneck_no_geo,-45.0,2681,1,0.7699233889579773,-0.5707018375396729
context_bottleneck_no_geo,-45.0,1555,1,0.7918741703033447,0.1765090823173523
context_bottleneck_no_geo,-45.0,9997,1,0.7514919638633728,0.8021751642227173
context_bottleneck_no_geo,-45.0,3483,1,0.4914774000644684,-0.1427450180053711
context_bottleneck_no_geo,-45.0,259,1,0.3470582962036133,-0.6780064105987549
context_bottleneck_no_geo,-45.0,2606,1,0.5562244653701782,0.43746137619018555
context_bottleneck_no_geo,-45.0,3295,1,0.4183705747127533,1.5087363719940186
context_bottleneck_no_geo,-45.0,6279,1,0.6678515672683716,-1.0503623485565186
context_bottleneck_no_geo,-45.0,7158,1,0.6363215446472168,-1.6099026203155518
context_bottleneck_no_geo,-45.0,1775,1,0.22403639554977417,-0.04929443448781967
context_bottleneck_no_geo,-45.0,6618,1,0.7877254486083984,0.044077157974243164
context_bottleneck_no_geo,-45.0,2147,1,0.507468044757843,0.009996891021728516
context_bottleneck_no_geo,-45.0,899,1,0.5506318211555481,0.40233469009399414
context_bottleneck_no_geo,-45.0,8965,1,0.5940728187561035,1.1341962814331055
context_bottleneck_no_geo,-45.0,4189,1,0.5871803760528564,-0.44913244247436523
context_bottleneck_no_geo,-45.0,5539,1,0.4720773696899414,-1.0221214294433594
context_bottleneck_no_geo,-45.0,6190,1,0.7195807099342346,-0.11154961585998535
context_bottleneck_no_geo,-45.0,2445,1,0.7316934466362,1.1970000267028809
context_bottleneck_no_geo,-45.0,4846,1,0.5130607485771179,-0.014085710048675537
context_bottleneck_no_geo,-45.0,2634,1,0.669025182723999,0.2530182898044586
