model_seed,method,source_index,target_angle,donor_angle,gap,category,nominal_route_distance,functional_route_distance,prediction_preserved,true_log_prob_change
4,r0_mlp,3885,-75.0,-60.0,15.0,near,0.1183701828122139,0.167097270488739,1,-0.050556063652038574
4,r0_mlp,3768,-75.0,-60.0,15.0,near,0.04903344810009003,0.06813091784715652,1,0.014710068702697754
4,r0_mlp,4069,-75.0,-60.0,15.0,near,0.048060446977615356,0.05220530182123184,1,-0.012514591217041016
4,r0_mlp,9482,-75.0,-60.0,15.0,near,0.006067837122827768,9.927727973035871e-08,1,-0.0035347938537597656
4,r0_mlp,1037,-75.0,-60.0,15.0,near,0.05473420023918152,0.04890259727835655,1,0.026445865631103516
4,r0_mlp,9099,-75.0,-60.0,15.0,near,0.026910236105322838,0.018617765977978706,1,0.044379234313964844
4,r0_mlp,1129,-75.0,-60.0,15.0,near,0.002268991433084011,9.048035209957561e-09,1,0.0015478134155273438
4,r0_mlp,2066,-75.0,-60.0,15.0,near,0.012824068777263165,8.911456461646594e-07,1,0.0018570423126220703
4,r0_mlp,8225,-75.0,-60.0,15.0,near,0.04424647241830826,0.03817485645413399,1,0.04867124557495117
4,r0_mlp,5603,-75.0,-60.0,15.0,near,0.0015667463885620236,9.14213504898953e-09,1,-3.834068775177002e-05
4,r0_mlp,755,-75.0,-60.0,15.0,near,0.08021930605173111,0.11331513524055481,1,-0.0147896409034729
4,r0_mlp,9587,-75.0,-60.0,15.0,near,0.016883037984371185,7.975162588991225e-05,1,0.0025985240936279297
4,r0_mlp,544,-75.0,-45.0,30.0,near,0.03495648130774498,0.03717685118317604,1,-0.03737914562225342
4,r0_mlp,4306,-75.0,-45.0,30.0,near,0.05549725890159607,0.08060120046138763,1,-0.12543678283691406
4,r0_mlp,6410,-75.0,-45.0,30.0,near,0.20197196304798126,0.2714819312095642,1,0.272003173828125
4,r0_mlp,6382,-75.0,-45.0,30.0,near,0.10140169411897659,0.14813819527626038,1,-0.2921476364135742
4,r0_mlp,8949,-75.0,-45.0,30.0,near,0.04548832029104233,0.06546599417924881,1,0.0019028186798095703
4,r0_mlp,9600,-75.0,-45.0,30.0,near,0.11614726483821869,0.1518818885087967,1,0.22839128971099854
4,r0_mlp,486,-75.0,-45.0,30.0,near,0.02324512042105198,0.000805861665867269,1,-0.019383907318115234
4,r0_mlp,109,-75.0,-45.0,30.0,near,0.18404363095760345,0.27111107110977173,1,0.21986490488052368
4,r0_mlp,2500,-75.0,-45.0,30.0,near,0.058087240904569626,0.04927990213036537,1,-0.03207969665527344
4,r0_mlp,1413,-75.0,-45.0,30.0,near,0.25889211893081665,0.3535167872905731,1,0.30573320388793945
4,r0_mlp,360,-75.0,-45.0,30.0,near,0.10486526787281036,0.15881657600402832,1,-0.12412452697753906
4,r0_mlp,2139,-75.0,-45.0,30.0,near,0.26669052243232727,0.3553938567638397,1,-0.28873276710510254
4,r0_mlp,9158,-75.0,-45.0,30.0,near,0.25749748945236206,0.33965376019477844,1,0.3881959915161133
4,r0_mlp,3213,-75.0,-45.0,30.0,near,0.05954620614647865,0.08391357958316803,1,0.07463645935058594
4,r0_mlp,8351,-75.0,-45.0,30.0,near,0.020431123673915863,5.2350482292240486e-05,1,0.07498025894165039
4,r0_mlp,4655,-75.0,-45.0,30.0,near,0.14442741870880127,0.21131229400634766,1,0.051318585872650146
4,r0_mlp,6249,-75.0,-45.0,30.0,near,0.09929294139146805,0.14979471266269684,1,-0.006794571876525879
4,r0_mlp,8929,-75.0,-45.0,30.0,near,0.03799361363053322,0.03800424188375473,1,0.12818574905395508
4,r0_mlp,6036,-75.0,-45.0,30.0,near,0.15977992117404938,0.20259496569633484,1,0.08008503913879395
4,r0_mlp,1671,-75.0,-45.0,30.0,near,0.07648894190788269,0.112820103764534,1,0.11915278434753418
4,r0_mlp,3885,-75.0,-45.0,30.0,near,0.17074188590049744,0.21953903138637543,1,-0.0807877779006958
4,r0_mlp,3768,-75.0,-45.0,30.0,near,0.044389694929122925,0.04792437329888344,1,0.015006005764007568
4,r0_mlp,4069,-75.0,-45.0,30.0,near,0.11486545205116272,0.16628390550613403,1,-0.06870651245117188
4,r0_mlp,9482,-75.0,-45.0,30.0,near,0.02196960709989071,0.00023439896176569164,1,-0.02742481231689453
4,r0_mlp,1037,-75.0,-45.0,30.0,near,0.105838343501091,0.12935467064380646,1,0.0341954231262207
4,r0_mlp,9099,-75.0,-45.0,30.0,near,0.04189189523458481,0.03182639181613922,1,0.035230398178100586
4,r0_mlp,1129,-75.0,-45.0,30.0,near,0.015264659188687801,0.0009107054793275893,1,-0.000850677490234375
4,r0_mlp,2066,-75.0,-45.0,30.0,near,0.06461808830499649,0.0844438225030899,1,0.007755279541015625
