model_seed,method,angle,host,mean_route_mass,host_specialization
4,r5_smooth_residual_continuity,-15.0,1,0.2610797882080078,4.45246696472168e-05
4,r5_smooth_residual_continuity,-15.0,2,0.16695749759674072,0.006805241107940674
4,r5_smooth_residual_continuity,-15.0,3,0.2656171917915344,0.00014734268188476562
4,r5_smooth_residual_continuity,0.0,0,0.3106130063533783,0.0031354427337646484
4,r5_smooth_residual_continuity,0.0,1,0.2629432678222656,4.45246696472168e-05
4,r5_smooth_residual_continuity,0.0,2,0.16064417362213135,0.006805241107940674
4,r5_smooth_residual_continuity,0.0,3,0.2657995820045471,0.00014734268188476562
4,r5_smooth_residual_continuity,15.0,0,0.30410733819007874,0.0031354427337646484
4,r5_smooth_residual_continuity,15.0,1,0.26566967368125916,4.45246696472168e-05
4,r5_smooth_residual_continuity,15.0,2,0.16270849108695984,0.006805241107940674
4,r5_smooth_residual_continuity,15.0,3,0.26751452684402466,0.00014734268188476562
4,r5_smooth_residual_continuity,30.0,0,0.2871668338775635,0.0031354427337646484
4,r5_smooth_residual_continuity,30.0,1,0.2661305069923401,4.45246696472168e-05
